Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,犬,Khuyển,いぬ,ケン,Con chó,犬【いぬ】con chó,子犬【こいぬ】chó con,番犬【ばんけん】chó giữ nhà,Chấm (丶) to (大) ở lưng là chó (犬) khôn,4,N5,,犬
,子,Tử,"こ, -こ","シ, ス",Con,子ども【こども】trẻ con,男の子【おとこのこ】bé trai,女の子【おんなのこ】bé gái,Kết thúc (了) 1 (一) cuộc tình đẹp là có đứa con (子),3,N5,,子
,字,Tự,(không có),ジ,Chữ,漢字【かんじ】chữ Hán,文字【もじ】chữ viết,名字【みょうじ】họ,"Dưới mái nhà (宀), trẻ con (子) đang tập viết chữ (字)",6,N5,,宀
,学,Học,まな.ぶ,ガク,Học,学生【がくせい】học sinh,大学【だいがく】đại học,学校【がっこう】trường học,3 (ツ) đêm trùm khăn (冖) con (子) đều học tập (学) chăm chỉ,8,N5,,子
,月,Nguyệt,つき,"ゲツ, ガツ",Mặt trăng,月曜日【げつようび】thứ hai,一月【いちがつ】tháng một,今月【こんげつ】tháng này,Hình Mặt Trăng,4,N5,,月
,言,Ngôn,"い.う, こと","ゲン, ゴン",Nói,言う【いう】nói,言葉【ことば】từ vựng,伝言【でんごん】tin nhắn,Cái miệng (口) nói (亠) 3 lời ngắn 1 lời dài,7,N5,,言
,牛,Ngưu,うし,ギュウ,Trâu bò,牛【うし】con bò,牛肉【ぎゅうにく】thịt bò,牛乳【ぎゅうにゅう】sữa bò,Con bò (牛) mọc sừng vào đúng giờ Ngọ (午),4,N5,,牛
,花,Hoa,はな,カ,Hoa,花【はな】hoa,花見【はなみ】ngắm hoa,生け花【いけばな】cắm hoa,Cỏ (艹) hóa (化) hoa (花),7,N5,,艹
,今,Kim,いま,"コン, キン",Hiện tại,今【いま】bây giờ,今日【きょう】hôm nay,今月【こんげつ】tháng này,Người (人) ra (マ) xem bây giờ (今) là mấy giờ?,4,N5,,人
,米,Mễ,こめ,"ベイ, マイ",Gạo,米【こめ】gạo,米国【べいこく】nước Mỹ,白米【はくまい】gạo trắng,2 (丷) hạt phía trên cây (木) là hạt gạo (米),6,N5,,米
